cluster_label	level	category	eligible	n	n_eff	n_hit	rho_bar	vif	auc_abs	auc_signed	perm_p	vif_z	vif_p	pooled_rg	pooled_rg_ci_lo	pooled_rg_ci_hi	coherence	mean_abs_rg	mean_signed_rg	odds_ratio	fisher_p	q	rank	z_threshold
noise_re1	icd_chapter	XIII	True	81	30.64	75	0.464	14.75	0.7091	0.7091	0.000499750124937531	1.552	0.0603792733345401	0.4351	0.4014	0.4676	1	0.4984	0.4984	4.383	7.21152873583896e-05	0.00399800099950025	2	5
noise_re1	icd_chapter	I	True	4	3	4	0.522	2.04	0.6582	0.6582	0.156421789105447	0.763	0.222777741759514	0.4059	0.3442	0.4642	1	0.5046	0.5046	Inf	0.351398979636145	0.578377477927703	3	5
noise_re1	icd_chapter	VI	True	25	14.3	19	0.274	4.65	0.5708	0.5693	0.112943528235882	0.554	0.289766222722703	0.3982	0.3634	0.4319	0.98	0.3947	0.3868	0.94	0.658080898264352	0.578377477927703	4	5
noise_re1	icd_chapter	IV	True	18	11.04	13	0.335	4.36	0.5498	0.5501	0.216891554222889	0.343	0.365675150992975	0.3142	0.2835	0.3444	1	0.321	0.321	0.766	0.788697917902428	0.578377477927703	5	5
noise_re1	icd_chapter	V	True	42	13.07	36	0.654	8.89	0.5427	0.5395	0.181909045477261	0.307	0.379331491236227	0.4053	0.3663	0.4429	0.973	0.4064	0.3956	1.867	0.111481861854845	0.578377477927703	6	5
noise_re1	icd_chapter	XIV	True	43	18.87	36	0.361	7.45	0.4621	0.4621	0.791104447776112	-0.301	0.61818338315286	0.3488	0.3121	0.3844	1	0.3799	0.3799	1.586	0.186412561564473	1	7	5
noise_re1	icd_chapter	XI	True	52	26.91	39	0.241	7.25	0.4444	0.4463	0.908545727136432	-0.488	0.687155562365323	0.3073	0.2753	0.3387	1	0.3669	0.3668	0.881	0.714001372683713	1	8	5
noise_re1	icd_chapter	VIII	True	11	6.11	11	0.426	3.18	0.4364	0.4364	0.753623188405797	-0.405	0.657285470051059	0.3385	0.2933	0.3821	1	0.3663	0.3663	Inf	0.0550459240063268	1	9	5
noise_re1	icd_chapter	XII	True	17	9.09	16	0.409	4.31	0.4357	0.4357	0.824087956021989	-0.434	0.668014501150155	0.3344	0.2917	0.3757	1	0.3631	0.3631	4.926	0.0688693905032734	1	10	5
noise_re1	icd_chapter	IX	True	50	19.12	36	0.356	7.45	0.4107	0.4108	0.983008495752124	-0.759	0.776105030394961	0.2703	0.2451	0.2951	1	0.2649	0.2649	0.741	0.858292970473048	1	11	5
