cluster_label	level	category	eligible	n	n_eff	n_hit	rho_bar	vif	auc_abs	auc_signed	perm_p	vif_z	vif_p	pooled_rg	pooled_rg_ci_lo	pooled_rg_ci_hi	coherence	mean_abs_rg	mean_signed_rg	odds_ratio	fisher_p	q	rank
C4	native	II Neoplasms, from cancer register (ICD-O-3)	True	23	12.12	1	0.302	4.36	0.0893	0.0864	1	-3.204	0.999322969152912	0.0157	-0.0257	0.057	0.418	0.0534	0.0223	0.037	0.999999981427559	1	29
C4	native	Miscellaneous, not yet classified endpoints	False	5	4	5	0.469	2.41	0.8377	0.8377	0.00349825087456272	1.678	0.0466907727964747	0.3213	0.2701	0.3708	1	0.3459	0.3459	Inf	0.0407881058354641	0.0216891554222889	
C4	native	Quantitative endpoints	False	3	3	0	0.443	1.89	0.4513	0.4081	0.606696651674163	-0.212	0.584023940777579	0.0814	0.042	0.1206	0.779	0.1013	0.0789	0	1	0.989873484310476	
C5_sub0	native	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	True	83	32.95	52	0.497	16.9	0.7247	0.726	0.000499750124937531	1.601	0.0546889658016622	0.2431	0.2139	0.2719	0.976	0.2355	0.2299	3.535	1.42783100024393e-07	0.00774612693653173	1
C5_sub0	native	IX Diseases of the circulatory system (I9_)	True	49	21.41	30	0.311	7.34	0.7008	0.7156	0.000499750124937531	1.721	0.0426129400268928	0.237	0.2123	0.2613	1	0.2454	0.2454	3.042	0.000197671825816259	0.00774612693653173	2
C5_sub0	native	Cardiometabolic endpoints	True	6	3	6	0.655	2.31	0.8901	0.8907	0.000999500249875062	2.166	0.0151705469407221	0.3837	0.3455	0.4205	1	0.3772	0.3772	Inf	0.00221280627907454	0.010328169248709	3
C5_sub0	native	X Diseases of the respiratory system (J10_)	True	28	11.58	16	0.467	5.95	0.6313	0.6497	0.00549725137431284	0.963	0.167669571885366	0.1989	0.1658	0.2315	1	0.2223	0.2223	2.438	0.0177378639129919	0.0335665500583042	4
C5_sub0	native	Drug purchase endpoints	True	7	5	5	0.378	2.51	0.7241	0.7372	0.0219890054972514	1.287	0.099056479976787	0.2996	0.2609	0.3373	1	0.2692	0.2692	4.453	0.0640907976970838	0.0910169915042479	5
C5_sub0	native	Asthma and related endpoints	True	10	3.05	6	0.804	2.65	0.6802	0.6881	0.023488255872064	1.202	0.114673383991522	0.2351	0.1981	0.2715	1	0.2325	0.2325	2.671	0.1100536322554	0.0910169915042479	6
C5_sub0	native	Interstitial lung disease endpoints	True	3	2	2	0.554	1.55	0.7924	0.7951	0.0434782608695652	1.402	0.0803982309009279	0.2625	0.2108	0.3128	1	0.36	0.36	3.523	0.300211764776359	0.134782608695652	7
