cluster_label	level	category	eligible	n	n_eff	n_hit	rho_bar	vif	auc_abs	auc_signed	perm_p	vif_z	vif_p	pooled_rg	pooled_rg_ci_lo	pooled_rg_ci_hi	coherence	mean_abs_rg	mean_signed_rg	odds_ratio	fisher_p	q	rank	z_threshold
C2_sub0	anthro_class	Anthropometric	True	3	3	1	0.443	1.89	0.7879	0.4452	0.0474762618690655	1.254	0.104939055706195	-0.1032	-0.131	-0.0752	0.429	0.2009	-0.0861	0.385	0.917443486960142	0.0474762618690655	1	4
C2_sub1	anthro_class	Anthropometric	True	3	3	1	0.443	1.89	0.8267	0.3948	0.0264867566216892	1.423	0.0774122966268904	-0.0785	-0.1443	-0.0121	0.573	0.1694	-0.0971	3.568	0.328175498186371	0.0264867566216892	1	4
C3	anthro_class	Anthropometric	True	3	3	0	0.443	1.89	0.0653	0.2708	1	-1.893	0.970814930281899	-0.004	-0.0488	0.0409	1	0.0038	-0.0038	0	1	1	1	4
C4	anthro_class	Anthropometric	True	3	3	0	0.443	1.89	0.4513	0.4081	0.616191904047976	-0.212	0.584023940777579	0.0814	0.042	0.1206	0.779	0.1013	0.0789	0	1	0.616191904047976	1	4
C5_sub0	anthro_class	Anthropometric	True	3	3	2	0.443	1.89	0.9164	0.9164	0.00299850074962519	1.813	0.0348902168895618	0.2473	0.1965	0.2968	1	0.583	0.583	3.523	0.300211764776359	0.00299850074962519	1	4
C5_sub1	anthro_class	Anthropometric	True	3	3	2	0.443	1.89	0.8123	0.6196	0.0349825087456272	1.36	0.0869149686420078	0.1334	0.0956	0.1708	0.711	0.2452	0.1742	2.543	0.412243500357116	0.0349825087456272	1	4
C6_sub0	anthro_class	Anthropometric	True	3	3	2	0.443	1.89	0.6478	0.6274	0.208895552223888	0.644	0.259842914359201	0.2042	0.1721	0.2359	0.911	0.2558	0.2331	0.768	0.811939917292744	0.208895552223888	1	4
C6_sub1	anthro_class	Anthropometric	True	3	3	0	0.443	1.89	0.2492	0.1777	0.929535232383808	-1.092	0.862658243596764	0.0111	-0.0206	0.0427	0.466	0.0446	0.0208	0	1	0.929535232383808	1	4
noise_re0	anthro_class	Anthropometric	True	3	3	2	0.443	1.89	0.871	0.6523	0.0109945027486257	1.616	0.0530901105231078	0.1723	0.1303	0.2136	0.793	0.3109	0.2465	5.041	0.198104818254521	0.0109945027486257	1	4
noise_re1	anthro_class	Anthropometric	True	3	3	2	0.443	1.89	0.5233	0.5377	0.458270864567716	0.101	0.459665448522502	0.1623	0.132	0.1922	0.993	0.1697	0.1686	0.688	0.837182240513268	0.458270864567716	1	4
noise_re2	anthro_class	Anthropometric	True	3	3	0	0.443	1.89	0.608	0.4175	0.285857071464268	0.47	0.319101512420396	0.0451	0.0021	0.0879	0.33	0.0988	0.0326	0	1	0.285857071464268	1	4
noise_re3	anthro_class	Anthropometric	True	3	3	2	0.443	1.89	0.7769	0.6589	0.0514742628685657	1.206	0.113971660677607	0.1755	0.1401	0.2104	0.802	0.2616	0.2098	1.974	0.506208490141923	0.0514742628685657	1	4
noise_re4	anthro_class	Anthropometric	True	3	3	0	0.443	1.89	0.6406	0.557	0.197901049475262	0.612	0.270109368968542	0.1019	0.0569	0.1464	0.721	0.1232	0.0889	0	1	0.197901049475262	1	4
C0	anthro_class	Anthropometric	True	3	3	0	0.443	1.89	0.643	0.3212	0.205897051474263	0.623	0.266800585055524	9e-04	-0.0422	0.0439	0.185	0.0685	-0.0126	0	1	0.205897051474263	1	5
C1	anthro_class	Anthropometric	True	3	3	2	0.443	1.89	0.7402	0.5972	0.0854572713643178	1.045	0.147928128869559	0.1286	0.0832	0.1734	0.675	0.2025	0.1367	2.117	0.480347136582938	0.0854572713643178	1	5
C2_sub0	anthro_class	Anthropometric	True	3	3	1	0.443	1.89	0.7537	0.4642	0.0804597701149425	1.104	0.134777285727281	-0.1032	-0.131	-0.0752	0.429	0.2009	-0.0861	0.364	0.925185521732546	0.0804597701149425	1	5
C2_sub1	anthro_class	Anthropometric	True	3	3	1	0.443	1.89	0.7955	0.4069	0.0379810094952524	1.286	0.099196034753116	-0.0785	-0.1443	-0.0121	0.573	0.1694	-0.0971	2.838	0.388494210620517	0.0379810094952524	1	5
C3	anthro_class	Anthropometric	True	3	3	0	0.443	1.89	0.0621	0.253	0.999000499750125	-1.906	0.971657243344069	-0.004	-0.0488	0.0409	1	0.0038	-0.0038	0	1	0.999000499750125	1	5
C4	anthro_class	Anthropometric	True	3	3	0	0.443	1.89	0.4062	0.3725	0.711644177911045	-0.408	0.658422087502796	0.0814	0.042	0.1206	0.779	0.1013	0.0789	0	1	0.711644177911045	1	5
C5_sub0	anthro_class	Anthropometric	True	3	3	2	0.443	1.89	0.9035	0.9035	0.00399800099950025	1.756	0.0395466638058775	0.2473	0.1965	0.2968	1	0.583	0.583	3.093	0.343600704913744	0.00399800099950025	1	5
C5_sub1	anthro_class	Anthropometric	True	3	3	2	0.443	1.89	0.7874	0.6107	0.0439780109945028	1.251	0.105483795467294	0.1334	0.0956	0.1708	0.711	0.2452	0.1742	2.277	0.453185781354795	0.0439780109945028	1	5
C6_sub0	anthro_class	Anthropometric	True	3	3	2	0.443	1.89	0.6309	0.6154	0.23488255872064	0.57	0.284453180496723	0.2042	0.1721	0.2359	0.911	0.2558	0.2331	0.67	0.842616303883909	0.23488255872064	1	5
C6_sub1	anthro_class	Anthropometric	True	3	3	0	0.443	1.89	0.2112	0.1498	0.953023488255872	-1.257	0.895583717514042	0.0111	-0.0206	0.0427	0.466	0.0446	0.0208	0	1	0.953023488255872	1	5
noise_re0	anthro_class	Anthropometric	True	3	3	2	0.443	1.89	0.8563	0.6491	0.0124937531234383	1.55	0.0605200438389428	0.1723	0.1303	0.2136	0.793	0.3109	0.2465	4.676	0.217779059498732	0.0124937531234383	1	5
noise_re1	anthro_class	Anthropometric	True	3	3	2	0.443	1.89	0.4919	0.5047	0.527236381809096	-0.035	0.514054572796845	0.1623	0.132	0.1922	0.993	0.1697	0.1686	0.593	0.866876380472473	0.527236381809096	1	5
noise_re2	anthro_class	Anthropometric	True	3	3	0	0.443	1.89	0.5762	0.3981	0.322838580709645	0.332	0.370014873325261	0.0451	0.0021	0.0879	0.33	0.0988	0.0326	0	1	0.322838580709645	1	5
noise_re3	anthro_class	Anthropometric	True	3	3	2	0.443	1.89	0.7625	0.6545	0.0709645177411294	1.142	0.12667252484387	0.1755	0.1401	0.2104	0.802	0.2616	0.2098	1.8	0.540786507903727	0.0709645177411294	1	5
noise_re4	anthro_class	Anthropometric	True	3	3	0	0.443	1.89	0.6046	0.5337	0.261369315342329	0.455	0.324503169751407	0.1019	0.0569	0.1464	0.721	0.1232	0.0889	0	1	0.261369315342329	1	5
